[889.7168,763.3416,26.8652]
[916.5819,916.4297]
[915.9749,915.2225]
[914.1811,912.8626]
[911.2818,909.4566]
[907.4078,905.1585]
[902.7343,900.1626]
[897.4725,894.6946]
[891.8602,889.0016]
[886.1511,883.3410]
[880.6031,877.9684]
[875.4669,873.1269]
[870.9748,869.0351]
[867.3297,865.8779]
[864.6963,863.7981]
[863.1937,862.8897]
[862.8897,863.1937]
[863.7981,864.6963]
[865.8779,867.3297]
[869.0351,870.9748]
[873.1269,875.4669]
[877.9684,880.6031]
[883.3410,886.1511]
[889.0016,891.8602]
[894.6946,897.4725]
[900.1626,902.7343]
[905.1585,907.4078]
[909.4566,911.2818]
[912.8626,914.1811]
[915.2225,915.9749]
[916.4297,916.5819]
[763.3416,766.1971]
[769.0204,771.7793]
[774.4426,776.9801]
[779.3631,781.5645]
[783.5595,785.3254]
[786.8422,788.0927]
[789.0628,789.7415]
[790.1211,790.1972]
[789.9690,789.4392]
[788.6136,787.5017]
[786.1161,784.4724]
[782.5893,780.4881]
[778.1926,775.7289]
[773.1248,770.4098]
[767.6148,764.7714]
[761.9117,759.0683]
[756.2733,753.5583]
[750.9542,748.4905]
[746.1950,744.0938]
[742.2107,740.5670]
[739.1814,738.0695]
[737.2439,736.7141]
[736.4859,736.5620]
[736.9416,737.6203]
[738.5904,739.8409]
[741.3577,743.1236]
[745.1186,747.3200]
[749.7030,752.2405]
[754.9038,757.6627]
[760.4860,763.3416]
[283.1029,301.3533,28.8296]
[311.9325,311.7692]
[311.2811,310.4737]
[309.3562,307.9412]
[306.2448,304.2862]
[302.0875,299.6738]
[297.0723,294.3125]
[291.4258,288.4447]
[285.4031,282.3354]
[279.2764,276.2608]
[273.3227,270.4955]
[267.8110,265.2999]
[262.9904,260.9088]
[259.0787,257.5208]
[256.2528,255.2890]
[254.6403,254.3141]
[254.3141,254.6403]
[255.2890,256.2528]
[257.5208,259.0787]
[260.9088,262.9904]
[265.2999,267.8110]
[270.4955,273.3227]
[276.2608,279.2764]
[282.3354,285.4031]
[288.4447,291.4258]
[294.3125,297.0723]
[299.6738,302.0875]
[304.2862,306.2448]
[307.9412,309.3562]
[310.4737,311.2811]
[311.7692,311.9325]
[301.3533,304.4177]
[307.4474,310.4080]
[313.2661,315.9891]
[318.5464,320.9088]
[323.0497,324.9447]
[326.5724,327.9144]
[328.9554,329.6837]
[330.0910,330.1727]
[329.9279,329.3593]
[328.4734,327.2802]
[325.7932,324.0293]
[322.0085,319.7537]
[317.2903,314.6464]
[311.8519,308.9385]
[305.9390,302.8877]
[299.8189,296.7676]
[293.7681,290.8547]
[288.0602,285.4163]
[282.9529,280.6981]
[278.6773,276.9134]
[275.4265,274.2332]
[273.3473,272.7787]
[272.5339,272.6156]
[273.0229,273.7512]
[274.7922,276.1342]
[277.7619,279.6570]
[281.7978,284.1602]
[286.7175,289.4405]
[292.2986,295.2592]
[298.2889,301.3533]
[903.8669,325.4351,25.5156]
[929.3825,929.2380]
[928.8060,928.0914]
[927.1023,925.8500]
[924.3486,922.6151]
[920.6692,918.5330]
[916.2305,913.7880]
[911.2331,908.5947]
[905.9027,903.1877]
[900.4803,897.8114]
[895.2110,892.7087]
[890.3329,888.1104]
[886.0664,884.2241]
[882.6044,881.2256]
[880.1033,879.2502]
[878.6761,878.3874]
[878.3874,878.6761]
[879.2502,880.1033]
[881.2256,882.6044]
[884.2241,886.0664]
[888.1104,890.3329]
[892.7087,895.2110]
[897.8114,900.4803]
[903.1877,905.9027]
[908.5947,911.2331]
[913.7880,916.2305]
[918.5330,920.6692]
[922.6151,924.3486]
[925.8500,927.1023]
[928.0914,928.8060]
[929.2380,929.3825]
[325.4351,328.1472]
[330.8286,333.4489]
[335.9784,338.3885]
[340.6518,342.7426]
[344.6374,346.3146]
[347.7552,348.9429]
[349.8643,350.5089]
[350.8694,350.9417]
[350.7250,350.2217]
[349.4376,348.3816]
[347.0656,345.5044]
[343.7159,341.7203]
[339.5401,337.2001]
[334.7269,332.1483]
[329.4937,326.7931]
[324.0771,321.3765]
[318.7218,316.1433]
[313.6700,311.3300]
[309.1499,307.1542]
[305.3657,303.8046]
[302.4886,301.4325]
[300.6484,300.1452]
[299.9285,300.0008]
[300.3613,301.0058]
[301.9272,303.1149]
[304.5556,306.2328]
[308.1275,310.2184]
[312.4817,314.8917]
[317.4212,320.0415]
[322.7229,325.4351]
[274.4108,790.1419,44.7727]
[319.1835,318.9298]
[318.1718,316.9179]
[315.1824,312.9849]
[310.3504,307.3086]
[303.8941,300.1456]
[296.1055,291.8195]
[287.3363,282.7067]
[277.9831,273.2189]
[268.4683,263.7851]
[259.2222,254.8314]
[250.6624,246.7626]
[243.1760,239.9433]
[237.1011,234.6817]
[232.7124,231.2156]
[230.2082,229.7016]
[229.7016,230.2082]
[231.2156,232.7124]
[234.6817,237.1011]
[239.9433,243.1760]
[246.7626,250.6624]
[254.8314,259.2222]
[263.7851,268.4683]
[273.2189,277.9831]
[282.7067,287.3363]
[291.8195,296.1055]
[300.1456,303.8941]
[307.3086,310.3504]
[312.9849,315.1824]
[316.9179,318.1718]
[318.9298,319.1835]
[790.1419,794.9009]
[799.6061,804.2039]
[808.6425,812.8714]
[816.8428,820.5117]
[823.8365,826.7795]
[829.3074,831.3915]
[833.0082,834.1393]
[834.7718,834.8987]
[834.5185,833.6354]
[832.2596,830.4065]
[828.0972,825.3579]
[822.2196,818.7178]
[814.8922,810.7862]
[806.4463,801.9217]
[797.2636,792.5248]
[787.7590,783.0202]
[778.3621,773.8374]
[769.4975,765.3915]
[761.5660,758.0642]
[754.9259,752.1865]
[749.8773,748.0242]
[746.6484,745.7653]
[745.3851,745.5119]
[746.1445,747.2755]
[748.8923,750.9764]
[753.5043,756.4473]
[759.7720,763.4409]
[767.4123,771.6413]
[776.0798,780.6777]
[785.3828,790.1419]
