[876.8050,769.9263,26.6832]
[903.4881,903.3370]
[902.8852,902.1379]
[901.1036,899.7940]
[898.2239,896.4111]
[894.3761,892.1421]
[889.7343,887.1800]
[884.5082,881.7491]
[878.9339,876.0947]
[873.2634,870.4724]
[867.7530,865.1362]
[862.6517,860.3275]
[858.1900,856.2634]
[854.5695,853.1276]
[851.9540,851.0619]
[850.4615,850.1596]
[850.1596,850.4615]
[851.0619,851.9540]
[853.1276,854.5695]
[856.2634,858.1900]
[860.3275,862.6517]
[865.1362,867.7530]
[870.4724,873.2634]
[876.0947,878.9339]
[881.7491,884.5082]
[887.1800,889.7343]
[892.1421,894.3761]
[896.4111,898.2239]
[899.7940,901.1036]
[902.1379,902.8852]
[903.3370,903.4881]
[769.9263,772.7625]
[775.5666,778.3068]
[780.9521,783.4724]
[785.8392,788.0258]
[790.0072,791.7612]
[793.2677,794.5098]
[795.4733,796.1474]
[796.5244,796.6000]
[796.3734,795.8471]
[795.0271,793.9228]
[792.5465,790.9139]
[789.0436,786.9566]
[784.6767,782.2297]
[779.6432,776.9467]
[774.1706,771.3464]
[768.5061,765.6820]
[762.9059,760.2093]
[757.6229,755.1758]
[752.8959,750.8089]
[748.9386,747.3060]
[745.9298,744.8254]
[744.0055,743.4792]
[743.2526,743.3282]
[743.7052,744.3792]
[745.3428,746.5848]
[748.0914,749.8453]
[751.8268,754.0133]
[756.3801,758.9005]
[761.5457,764.2859]
[767.0900,769.9263]
[282.9832,317.5542,26.1982]
[309.1814,309.0330]
[308.5894,307.8557]
[306.8402,305.5544]
[304.0128,302.2330]
[300.2350,298.0416]
[295.6776,293.1697]
[290.5464,287.8374]
[285.0735,282.2858]
[279.5060,276.7657]
[274.0958,271.5265]
[269.0871,266.8052]
[264.7065,262.8149]
[261.1519,259.7362]
[258.5839,257.7080]
[257.1185,256.8221]
[256.8221,257.1185]
[257.7080,258.5839]
[259.7362,261.1519]
[262.8149,264.7065]
[266.8052,269.0871]
[271.5265,274.0958]
[276.7657,279.5060]
[282.2858,285.0735]
[287.8374,290.5464]
[293.1697,295.6776]
[298.0416,300.2350]
[302.2330,304.0128]
[305.5544,306.8402]
[307.8557,308.5894]
[309.0330,309.1814]
[317.5542,320.3389]
[323.0920,325.7824]
[328.3796,330.8541]
[333.1779,335.3247]
[337.2702,338.9923]
[340.4714,341.6909]
[342.6369,343.2988]
[343.6689,343.7431]
[343.5206,343.0039]
[342.1989,341.1146]
[339.7633,338.1604]
[336.3241,334.2750]
[332.0366,329.6340]
[327.0945,324.4470]
[321.7214,318.9485]
[316.1599,313.3870]
[310.6614,308.0138]
[305.4744,303.0718]
[300.8333,298.7843]
[296.9479,295.3451]
[293.9938,292.9095]
[292.1045,291.5877]
[291.3653,291.4395]
[291.8096,292.4714]
[293.4175,294.6370]
[296.1161,297.8382]
[299.7836,301.9304]
[304.2542,306.7288]
[309.3259,312.0163]
[314.7695,317.5542]
[883.8045,333.5354,37.2432]
[921.0477,920.8367]
[920.2061,919.1631]
[917.7194,915.8915]
[913.7000,911.1698]
[908.3296,905.2114]
[901.8507,898.2856]
[894.5563,890.7053]
[886.7760,882.8131]
[878.8614,874.9657]
[871.1702,867.5178]
[864.0500,860.8060]
[857.8225,855.1335]
[852.7693,850.7567]
[849.1186,847.8735]
[847.0355,846.6142]
[846.6142,847.0355]
[847.8735,849.1186]
[850.7567,852.7693]
[855.1335,857.8225]
[860.8060,864.0500]
[867.5178,871.1702]
[874.9657,878.8614]
[882.8131,886.7760]
[890.7053,894.5563]
[898.2856,901.8507]
[905.2114,908.3296]
[911.1698,913.7000]
[915.8915,917.7194]
[919.1631,920.2061]
[920.8367,921.0477]
[333.5354,337.4941]
[341.4079,345.2326]
[348.9247,352.4424]
[355.7460,358.7978]
[361.5635,364.0115]
[366.1143,367.8479]
[369.1928,370.1336]
[370.6598,370.7653]
[370.4490,369.7145]
[368.5700,367.0286]
[365.1077,362.8290]
[360.2185,357.3056]
[354.1234,350.7079]
[347.0978,343.3341]
[339.4594,335.5175]
[331.5532,327.6113]
[323.7366,319.9729]
[316.3628,312.9473]
[309.7651,306.8522]
[304.2417,301.9630]
[300.0421,298.5007]
[297.3562,296.6217]
[296.3054,296.4109]
[296.9371,297.8779]
[299.2228,300.9564]
[303.0592,305.5072]
[308.2729,311.3248]
[314.6283,318.1460]
[321.8381,325.6628]
[329.5766,333.5354]
[279.3654,789.4312,42.5631]
[321.9284,321.6873]
[320.9667,319.7746]
[318.1248,316.0357]
[313.5312,310.6396]
[307.3936,303.8301]
[299.9893,295.9149]
[291.6530,287.2518]
[282.7613,278.2323]
[273.7161,269.2640]
[264.9263,260.7522]
[256.7890,253.0816]
[249.6720,246.5988]
[243.8969,241.5969]
[239.7248,238.3019]
[237.3442,236.8626]
[236.8626,237.3442]
[238.3019,239.7248]
[241.5969,243.8969]
[246.5988,249.6720]
[253.0816,256.7890]
[260.7522,264.9263]
[269.2640,273.7161]
[278.2323,282.7613]
[287.2518,291.6530]
[295.9149,299.9893]
[303.8301,307.3936]
[310.6396,313.5312]
[316.0357,318.1248]
[319.7746,320.9667]
[321.6873,321.9284]
[789.4312,793.9554]
[798.4283,802.7993]
[807.0188,811.0390]
[814.8144,818.3022]
[821.4629,824.2607]
[826.6638,828.6451]
[830.1820,831.2573]
[831.8586,831.9792]
[831.6177,830.7782]
[829.4703,827.7087]
[825.5134,822.9093]
[819.9258,816.5968]
[812.9601,809.0567]
[804.9310,800.6296]
[796.2014,791.6965]
[787.1659,782.6610]
[778.2327,773.9314]
[769.8057,765.9023]
[762.2656,758.9366]
[755.9531,753.3490]
[751.1537,749.3921]
[748.0841,747.2447]
[746.8832,747.0038]
[747.6051,748.6804]
[750.2173,752.1986]
[754.6017,757.3995]
[760.5602,764.0480]
[767.8234,771.8436]
[776.0631,780.4341]
[784.9070,789.4312]
