[60.2623,186.2305,18.4388]
[78.7010,78.5966]
[78.2844,77.7680]
[77.0533,76.1483]
[75.0633,73.8106]
[72.4044,70.8606]
[69.1968,67.4317]
[65.5854,63.6788]
[61.7334,59.7714]
[57.8150,55.8863]
[54.0071,52.1989]
[50.4820,48.8759]
[47.3988,46.0675]
[44.8970,43.9006]
[43.0896,42.4731]
[42.0583,41.8496]
[41.8496,42.0583]
[42.4731,43.0896]
[43.9006,44.8970]
[46.0675,47.3988]
[48.8759,50.4820]
[52.1989,54.0071]
[55.8863,57.8150]
[59.7714,61.7334]
[63.6788,65.5854]
[67.4317,69.1968]
[70.8606,72.4044]
[73.8106,75.0633]
[76.1483,77.0533]
[77.7680,78.2844]
[78.5966,78.7010]
[186.2305,188.1904]
[190.1281,192.0216]
[193.8496,195.5912]
[197.2267,198.7377]
[200.1069,201.3190]
[202.3600,203.2183]
[203.8841,204.3499]
[204.6104,204.6627]
[204.5061,204.1424]
[203.5758,202.8127]
[201.8616,200.7335]
[199.4410,197.9989]
[196.4234,194.7324]
[192.9451,191.0817]
[189.1634,187.2118]
[185.2491,183.2975]
[181.3792,179.5158]
[177.7285,176.0375]
[174.4620,173.0199]
[171.7274,170.5993]
[169.6483,168.8851]
[168.3185,167.9548]
[167.7982,167.8505]
[168.1110,168.5768]
[169.2426,170.1009]
[171.1420,172.3540]
[173.7232,175.2342]
[176.8697,178.6113]
[180.4393,182.3328]
[184.2705,186.2305]
[537.0720,608.6015,18.1785]
[555.2505,555.1475]
[554.8397,554.3306]
[553.6259,552.7337]
[551.6641,550.4291]
[549.0427,547.5207]
[545.8804,544.1402]
[542.3200,540.4402]
[538.5224,536.5881]
[534.6592,532.7577]
[530.9051,529.1224]
[527.4297,525.8463]
[524.3901,523.0776]
[521.9236,520.9413]
[520.1417,519.5340]
[519.1249,518.9193]
[518.9193,519.1249]
[519.5340,520.1417]
[520.9413,521.9236]
[523.0776,524.3901]
[525.8463,527.4297]
[529.1224,530.9051]
[532.7577,534.6592]
[536.5881,538.5224]
[540.4402,542.3200]
[544.1402,545.8804]
[547.5207,549.0427]
[550.4291,551.6641]
[552.7337,553.6259]
[554.3306,554.8397]
[555.1475,555.2505]
[608.6015,610.5338]
[612.4441,614.3109]
[616.1131,617.8301]
[619.4426,620.9322]
[622.2821,623.4770]
[624.5034,625.3496]
[626.0060,626.4652]
[626.7220,626.7735]
[626.6192,626.2606]
[625.7020,624.9496]
[624.0120,622.8998]
[621.6256,620.2038]
[618.6506,616.9835]
[615.2214,613.3843]
[611.4930,609.5690]
[607.6340,605.7100]
[603.8187,601.9816]
[600.2195,598.5524]
[596.9992,595.5774]
[594.3032,593.1910]
[592.2534,591.5010]
[590.9424,590.5839]
[590.4295,590.4810]
[590.7378,591.1970]
[591.8535,592.6996]
[593.7260,594.9209]
[596.2708,597.7605]
[599.3729,601.0899]
[602.8921,604.7589]
[606.6693,608.6015]
[223.9782,191.2352,18.6116]
[242.5898,242.4844]
[242.1693,241.6480]
[240.9266,240.0131]
[238.9180,237.6535]
[236.2342,234.6759]
[232.9965,231.2148]
[229.3512,227.4267]
[225.4631,223.4827]
[221.5079,219.5611]
[217.6644,215.8392]
[214.1062,212.4850]
[210.9941,209.6503]
[208.4688,207.4631]
[206.6445,206.0223]
[205.6035,205.3929]
[205.3929,205.6035]
[206.0223,206.6445]
[207.4631,208.4688]
[209.6503,210.9941]
[212.4850,214.1062]
[215.8392,217.6644]
[219.5611,221.5079]
[223.4827,225.4631]
[227.4267,229.3512]
[231.2148,232.9965]
[234.6759,236.2342]
[237.6535,238.9180]
[240.0131,240.9266]
[241.6480,242.1693]
[242.4844,242.5898]
[191.2352,193.2135]
[195.1694,197.0807]
[198.9258,200.6837]
[202.3346,203.8597]
[205.2418,206.4652]
[207.5160,208.3823]
[209.0544,209.5246]
[209.7875,209.8403]
[209.6822,209.3151]
[208.7432,207.9729]
[207.0129,205.8742]
[204.5697,203.1140]
[201.5237,199.8169]
[198.0128,196.1320]
[194.1956,192.2258]
[190.2447,188.2748]
[186.3384,184.4576]
[182.6535,180.9467]
[179.3564,177.9008]
[176.5962,175.4575]
[174.4975,173.7272]
[173.1553,172.7882]
[172.6302,172.6829]
[172.9458,173.4160]
[174.0881,174.9544]
[176.0053,177.2286]
[178.6107,180.1358]
[181.7867,183.5447]
[185.3897,187.3010]
[189.2569,191.2352]
[1027.7089,218.0134,16.8009]
[1044.5098,1044.4146]
[1044.1302,1043.6596]
[1043.0084,1042.1838]
[1041.1952,1040.0538]
[1038.7725,1037.3658]
[1035.8498,1034.2415]
[1032.5592,1030.8219]
[1029.0493,1027.2616]
[1025.4789,1023.7215]
[1022.0093,1020.3617]
[1018.7973,1017.3339]
[1015.9880,1014.7749]
[1013.7084,1012.8005]
[1012.0615,1011.4998]
[1011.1218,1010.9317]
[1010.9317,1011.1218]
[1011.4998,1012.0615]
[1012.8005,1013.7084]
[1014.7749,1015.9880]
[1017.3339,1018.7973]
[1020.3617,1022.0093]
[1023.7215,1025.4789]
[1027.2616,1029.0493]
[1030.8219,1032.5592]
[1034.2415,1035.8498]
[1037.3658,1038.7725]
[1040.0538,1041.1952]
[1042.1838,1043.0084]
[1043.6596,1044.1302]
[1044.4146,1044.5098]
[218.0134,219.7992]
[221.5648,223.2902]
[224.9557,226.5426]
[228.0329,229.4096]
[230.6573,231.7616]
[232.7102,233.4923]
[234.0990,234.5234]
[234.7608,234.8084]
[234.6657,234.3343]
[233.8180,233.1227]
[232.2561,231.2282]
[230.0505,228.7365]
[227.3009,225.7602]
[224.1316,222.4337]
[220.6858,218.9075]
[217.1192,215.3409]
[213.5930,211.8951]
[210.2666,208.7258]
[207.2903,205.9762]
[204.7986,203.7706]
[202.9041,202.2087]
[201.6924,201.3611]
[201.2184,201.2660]
[201.5033,201.9278]
[202.5344,203.3165]
[204.2651,205.3695]
[206.6171,207.9938]
[209.4841,211.0710]
[212.7366,214.4619]
[216.2275,218.0134]
[373.2972,591.7083,22.9057]
[396.2029,396.0731]
[395.6853,395.0438]
[394.1559,393.0317]
[391.6839,390.1277]
[388.3809,386.4631]
[384.3962,382.2035]
[379.9099,377.5414]
[375.1248,372.6875]
[370.2570,367.8611]
[365.5267,363.2804]
[361.1476,359.1524]
[357.3175,355.6636]
[354.2096,352.9718]
[351.9643,351.1986]
[350.6832,350.4240]
[350.4240,350.6832]
[351.1986,351.9643]
[352.9718,354.2096]
[355.6636,357.3175]
[359.1524,361.1476]
[363.2804,365.5267]
[367.8611,370.2570]
[372.6875,375.1248]
[377.5414,379.9099]
[382.2035,384.3962]
[386.4631,388.3809]
[390.1277,391.6839]
[393.0317,394.1559]
[395.0438,395.6853]
[396.0731,396.2029]
[591.7083,594.1430]
[596.5502,598.9024]
[601.1732,603.3367]
[605.3685,607.2455]
[608.9464,610.4521]
[611.7453,612.8116]
[613.6387,614.2173]
[614.5410,614.6059]
[614.4113,613.9596]
[613.2557,612.3077]
[611.1262,609.7248]
[608.1192,606.3277]
[604.3706,602.2699]
[600.0496,597.7348]
