[899.2309,750.9132,27.3946]
[926.6256,926.4704]
[926.0066,925.2393]
[924.1775,922.8329]
[921.2209,919.3598]
[917.2706,914.9770]
[912.5050,909.8826]
[907.1395,904.3069]
[901.4166,898.5017]
[895.5950,892.7295]
[889.9376,887.2511]
[884.7002,882.3141]
[880.1196,878.1416]
[876.4026,874.9222]
[873.7173,872.8015]
[872.1851,871.8751]
[871.8751,872.1851]
[872.8015,873.7173]
[874.9222,876.4026]
[878.1416,880.1196]
[882.3141,884.7002]
[887.2511,889.9376]
[892.7295,895.5950]
[898.5017,901.4166]
[904.3069,907.1395]
[909.8826,912.5050]
[914.9770,917.2706]
[919.3598,921.2209]
[922.8329,924.1775]
[925.2393,926.0066]
[926.4704,926.6256]
[750.9132,753.8251]
[756.7040,759.5173]
[762.2330,764.8206]
[767.2505,769.4954]
[771.5297,773.3304]
[774.8771,776.1523]
[777.1415,777.8335]
[778.2206,778.2982]
[778.0655,777.5252]
[776.6834,775.5496]
[774.1366,772.4605]
[770.5403,768.3977]
[766.0570,763.5447]
[760.8893,758.1208]
[755.2707,752.3712]
[749.4552,746.5558]
[743.7056,740.9372]
[738.2818,735.7695]
[733.4288,731.2862]
[729.3659,727.6899]
[726.2769,725.1431]
[724.3013,723.7610]
[723.5283,723.6059]
[723.9930,724.6850]
[725.6742,726.9494]
[728.4961,730.2968]
[732.3311,734.5760]
[737.0059,739.5934]
[742.3092,745.1225]
[748.0014,750.9132]
[275.0370,267.7601,28.8479]
[303.8849,303.7214]
[303.2330,302.4251]
[301.3069,299.8910]
[298.1935,296.2337]
[294.0336,291.6184]
[289.0152,286.2537]
[283.3651,280.3822]
[277.3386,274.2690]
[271.2081,268.1906]
[265.2507,262.4216]
[259.7355,257.2227]
[254.9118,252.8289]
[250.9976,249.4388]
[248.1699,247.2055]
[246.5564,246.2300]
[246.2300,246.5564]
[247.2055,248.1699]
[249.4388,250.9976]
[252.8289,254.9118]
[257.2227,259.7355]
[262.4216,265.2507]
[268.1906,271.2081]
[274.2690,277.3386]
[280.3822,283.3651]
[286.2537,289.0152]
[291.6184,294.0336]
[296.2337,298.1935]
[299.8910,301.3069]
[302.4251,303.2330]
[303.7214,303.8849]
[267.7601,270.8264]
[273.8580,276.8205]
[279.6804,282.4052]
[284.9640,287.3279]
